epoch,lr,time,loss
0,3.125e-05,15:00:59,3.610395153363546
1,6.25e-05,15:01:01,3.610330859820048
2,0.000125,15:01:02,3.598053971926371
3,0.00025,15:01:03,3.5763519207636514
4,0.0005,15:01:04,3.528431018193563
5,0.001,15:01:05,3.3899733622868857
6,0.001,15:01:06,3.1247766415278115
7,0.001,15:01:07,3.0059851010640464
8,0.001,15:01:08,3.0070897340774536
9,0.001,15:01:09,2.9646079540252686
10,0.001,15:01:10,2.911675969759623
11,0.001,15:01:11,2.891686280568441
12,0.001,15:01:12,2.850372592608134
13,0.001,15:01:13,2.793953458468119
14,0.001,15:01:14,2.7328563928604126
15,0.001,15:01:15,2.671424905459086
16,0.001,15:01:16,2.5769397020339966
17,0.001,15:01:17,2.5665451288223267
18,0.001,15:01:18,2.520466764767965
19,0.001,15:01:20,2.4753435850143433
20,0.001,15:01:21,2.409934123357137
21,0.001,15:01:22,2.3521140019098916
22,0.001,15:01:23,2.312105576197306
23,0.001,15:01:24,2.2675285736719766
24,0.001,15:01:25,2.210779865582784
25,0.001,15:01:26,2.1418042182922363
26,0.001,15:01:27,2.1139986912409463
27,0.001,15:01:28,2.0610152880350747
28,0.001,15:01:29,1.9866326848665874
29,0.001,15:01:30,1.94837882121404
30,0.001,15:01:31,1.9353464047114055
31,0.001,15:01:32,1.8517743349075317
32,0.001,15:01:33,1.8553435603777568
33,0.001,15:01:34,1.7931514183680217
34,0.001,15:01:35,1.760223130385081
35,0.001,15:01:36,1.7194738984107971
36,0.001,15:01:37,1.656068742275238
37,0.001,15:01:38,1.625181257724762
38,0.001,15:01:39,1.6185553073883057
39,0.001,15:01:40,1.5706992348035176
40,0.001,15:01:41,1.4957616925239563
41,0.001,15:01:42,1.4811081091562908
42,0.001,15:01:43,1.433509926001231
43,0.001,15:01:45,1.3928003311157227
44,0.001,15:01:46,1.394204596678416
45,0.001,15:01:47,1.308756669362386
46,0.001,15:01:48,1.3188891013463337
47,0.001,15:01:49,1.251747190952301
48,0.001,15:01:50,1.2277993361155193
49,0.001,15:01:51,1.2295470237731934
50,0.001,15:01:52,1.2030656933784485
51,0.001,15:01:53,1.1252905527750652
52,0.001,15:01:54,1.1515177488327026
53,0.001,15:01:55,1.0883745551109314
54,0.001,15:01:56,1.0544784764448802
55,0.001,15:01:57,1.0532066424687703
56,0.001,15:01:58,1.0041663348674774
57,0.001,15:01:59,0.9859572152296702
58,0.001,15:02:00,0.9799241026242574
59,0.001,15:02:01,0.9454431136449178
60,0.001,15:02:02,0.9128262996673584
61,0.001,15:02:03,0.8985642890135447
62,0.001,15:02:04,0.8623630801836649
63,0.001,15:02:05,0.8469269375006357
64,0.001,15:02:06,0.8062050739924113
65,0.001,15:02:07,0.8002894222736359
66,0.001,15:02:08,0.7914287149906158
67,0.001,15:02:10,0.7747414211432139
68,0.001,15:02:11,0.736422061920166
69,0.001,15:02:12,0.7554078300793966
