epoch,lr,time,loss
0,3.125e-05,16:14:45,3.614234685897827
1,6.25e-05,16:14:46,3.6136257648468018
2,0.000125,16:14:46,3.612407684326172
3,0.00025,16:14:46,3.6099720001220703
4,0.0005,16:14:46,3.605095863342285
5,0.001,16:14:46,3.5953128337860107
6,0.001,16:14:46,3.5754997730255127
7,0.001,16:14:46,3.5550975799560547
8,0.001,16:14:46,3.5336756706237793
9,0.001,16:14:46,3.5107245445251465
10,0.001,16:14:47,3.485684633255005
11,0.001,16:14:47,3.45798921585083
12,0.001,16:14:47,3.4271342754364014
13,0.001,16:14:47,3.3927648067474365
14,0.001,16:14:47,3.354799747467041
15,0.001,16:14:47,3.313565492630005
16,0.001,16:14:47,3.269923448562622
17,0.001,16:14:47,3.2253100872039795
18,0.001,16:14:47,3.181635856628418
19,0.001,16:14:48,3.1409971714019775
20,0.001,16:14:48,3.1052403450012207
21,0.001,16:14:48,3.075511932373047
22,0.001,16:14:48,3.051942825317383
23,0.001,16:14:48,3.0336899757385254
24,0.001,16:14:48,3.019395351409912
25,0.001,16:14:48,3.007657051086426
26,0.001,16:14:48,2.997363567352295
27,0.001,16:14:48,2.988130569458008
28,0.001,16:14:49,2.980607748031616
29,0.001,16:14:49,2.9753191471099854
30,0.001,16:14:49,2.971043109893799
31,0.001,16:14:49,2.9662632942199707
32,0.001,16:14:49,2.9603374004364014
33,0.001,16:14:49,2.9530105590820312
34,0.001,16:14:49,2.944082260131836
35,0.001,16:14:49,2.9337215423583984
36,0.001,16:14:49,2.923412799835205
37,0.001,16:14:50,2.9156720638275146
38,0.001,16:14:50,2.9111225605010986
39,0.001,16:14:50,2.9068603515625
40,0.001,16:14:50,2.90088152885437
41,0.001,16:14:50,2.8938355445861816
42,0.001,16:14:50,2.887197732925415
43,0.001,16:14:50,2.8820698261260986
44,0.001,16:14:50,2.878182888031006
45,0.001,16:14:50,2.8741061687469482
46,0.001,16:14:50,2.868743896484375
47,0.001,16:14:51,2.8621201515197754
48,0.001,16:14:51,2.8549985885620117
49,0.001,16:14:51,2.8480734825134277
50,0.001,16:14:51,2.841376304626465
51,0.001,16:14:51,2.8344998359680176
52,0.001,16:14:51,2.827223777770996
53,0.001,16:14:51,2.819650411605835
54,0.001,16:14:51,2.8119122982025146
55,0.001,16:14:51,2.8039638996124268
56,0.001,16:14:51,2.7957096099853516
57,0.001,16:14:52,2.787217140197754
58,0.001,16:14:52,2.7786996364593506
59,0.001,16:14:52,2.770275115966797
60,0.001,16:14:52,2.761730909347534
61,0.001,16:14:52,2.7526967525482178
62,0.001,16:14:52,2.7430617809295654
63,0.001,16:14:52,2.7330222129821777
64,0.001,16:14:52,2.7227728366851807
65,0.001,16:14:52,2.7123358249664307
66,0.001,16:14:53,2.7016923427581787
67,0.001,16:14:53,2.690822124481201
68,0.001,16:14:53,2.6795778274536133
69,0.001,16:14:53,2.667966365814209
70,0.001,16:14:53,2.6561546325683594
71,0.001,16:14:53,2.644163131713867
72,0.001,16:14:53,2.6318182945251465
73,0.001,16:14:53,2.6192541122436523
74,0.001,16:14:53,2.606674909591675
75,0.001,16:14:54,2.5938198566436768
76,0.001,16:14:54,2.580812692642212
77,0.001,16:14:54,2.567814826965332
78,0.001,16:14:54,2.55454421043396
79,0.001,16:14:54,2.5411558151245117
80,0.001,16:14:54,2.527787923812866
81,0.001,16:14:54,2.5142037868499756
82,0.001,16:14:54,2.500515937805176
83,0.001,16:14:54,2.4867331981658936
84,0.001,16:14:54,2.4728376865386963
85,0.001,16:14:55,2.4589500427246094
86,0.001,16:14:55,2.44498872756958
87,0.001,16:14:55,2.4310381412506104
88,0.001,16:14:55,2.417056083679199
89,0.001,16:14:55,2.403024196624756
90,0.001,16:14:55,2.389047384262085
91,0.001,16:14:55,2.3750393390655518
92,0.001,16:14:55,2.3610751628875732
93,0.001,16:14:55,2.3471479415893555
94,0.001,16:14:56,2.333259344100952
95,0.001,16:14:56,2.3194336891174316
96,0.001,16:14:56,2.3056278228759766
97,0.001,16:14:56,2.2918834686279297
98,0.001,16:14:56,2.2781970500946045
99,0.001,16:14:56,2.2645769119262695
